Computer 1,,,,Computer 2,,
Trial 1,,,,Trial 1,,
n ,Worst,Best,,n ,Worst,Best
1000,728,104,,1000,731,19
2000,2930,23,,2000,1617,18
3000,5047,9,,3000,2438,5
4000,6825,124,,4000,6501,8
5000,9198,4,,5000,4128,4
6000,12180,6,,6000,6792,5
7000,15642,6,,7000,12015,5
8000,20270,4,,8000,11584,8
9000,25250,5,,9000,21057,8
10000,37843,16,,10000,24180,8
Trial 2,,,,Trial 2,,
n ,Worst,Best,,n ,Worst,Best
1000,693,3,,1000,1065,32
2000,2672,3,,2000,1710,4
3000,4691,15,,3000,2627,5
4000,6816,2,,4000,4100,5
5000,9378,2,,5000,6330,5
6000,12117,2,,6000,9258,9
7000,15100,2,,7000,12238,9
8000,20611,2,,8000,17011,8
9000,27111,1,,9000,25188,5
10000,35803,1,,10000,29775,8
Trial 3,,,,Trial 3,,
n ,Worst,Best,,n ,Worst,Best
1000,714,1,,1000,738,20
2000,2695,2,,2000,2781,14
3000,4784,2,,3000,4295,9
4000,6900,3,,4000,8292,8
5000,9317,1,,5000,9361,8
6000,11777,2,,6000,12741,8
7000,15581,1,,7000,15712,8
8000,19667,2,,8000,19647,5
9000,27061,2,,9000,24756,8
10000,35088,3,,10000,30380,5
Trial 4,,,,Trial 4,,
n ,Worst,Best,,n ,Worst,Best
1000,700,1,,1000,742,18
2000,2669,2,,2000,1628,20
3000,5004,2,,3000,2555,8
4000,6777,2,,4000,6669,5
5000,9388,2,,5000,4357,9
6000,12643,37,,6000,6410,4
7000,16066,1,,7000,14656,5
8000,24578,4,,8000,13591,9
9000,27656,2,,9000,20715,8
10000,40701,2,,10000,24467,5
Trial 5,,,,Trial 5,,
n ,Worst,Best,,n ,Worst,Best
1000,700,2,,1000,738,18
2000,2703,2,,2000,1638,20
3000,4902,2,,3000,2459,8
4000,7040,3,,4000,6716,5
5000,9368,2,,5000,4857,5
6000,11929,3,,6000,7409,5
7000,16852,2,,7000,12455,5
8000,19670,2,,8000,12878,8
9000,27865,2,,9000,20049,5
10000,38662,43,,10000,23718,4
Trial 6,,,,Trial 6,,
n ,Worst,Best,,n ,Worst,Best
1000,703,2,,1000,741,15
2000,2686,1,,2000,1612,15
3000,4814,2,,3000,2434,5
4000,6898,3,,4000,6525,5
5000,9481,2,,5000,4240,5
6000,11968,4,,6000,7203,5
7000,15992,2,,7000,12177,5
8000,20682,2,,8000,18790,5
9000,29357,2,,9000,20750,4
10000,40557,2,,10000,24511,5
Trial 7,,,,Trial 7,,
n ,Worst,Best,,n ,Worst,Best
1000,694,2,,1000,730,15
2000,2669,2,,2000,1626,13
3000,4994,28,,3000,2442,4
4000,6780,2,,4000,6649,4
5000,9469,3,,5000,4454,4
6000,12669,37,,6000,6491,5
7000,16074,2,,7000,10534,4
8000,20976,2,,8000,13388,5
9000,26005,3,,9000,21931,4
10000,35606,2,,10000,25332,5
Trial 8,,,,Trial 8,,
n ,Worst,Best,,n ,Worst,Best
1000,686,2,,1000,742,16
2000,2936,2,,2000,1622,16
3000,4619,2,,3000,2448,4
4000,6836,3,,4000,6536,5
5000,9363,2,,5000,4736,8
6000,11659,2,,6000,6498,5
7000,15372,1,,7000,13151,5
8000,19416,2,,8000,13958,5
9000,27931,2,,9000,22752,5
10000,40650,2,,10000,24130,9
Trial 9,,,,Trial 9,,
n ,Worst,Best,,n ,Worst,Best
1000,695,2,,1000,743,15
2000,2713,2,,2000,1622,16
3000,5011,3,,3000,2644,4
4000,7053,21,,4000,6716,5
5000,9433,4,,5000,4494,9
6000,12672,2,,6000,6643,5
7000,16266,1,,7000,16952,5
8000,22916,1,,8000,14989,5
9000,25477,2,,9000,24561,5
10000,39723,2,,10000,24131,5
Trial 10,,,,Trial 10,,
n ,Worst,Best,,n ,Worst,Best
1000,686,2,,1000,736,18
2000,2674,2,,2000,1618,16
3000,4888,2,,3000,2537,6
4000,6957,2,,4000,6732,5
5000,9539,2,,5000,4760,5
6000,12242,1,,6000,8827,4
7000,16150,2,,7000,17690,9
8000,22210,2,,8000,19022,5
9000,25784,2,,9000,23821,4
10000,39078,2,,10000,25255,8
Average,,,,Average,,
n,Worst,Best,,n ,Worst,Best
1000,699.9,12.1,,1000,770.6,18.6
2000,2734.7,4.1,,2000,1747.4,15.2
3000,4874.4,6.7,,3000,2586.9,5.8
4000,6888.2,6.5,,4000,6543.6,5.5
5000,9398.8,2.4,,5000,5064.8,6.2
6000,12185.6,9.5,,6000,7827.2,5.5
7000,15909.5,2,,7000,13758,6
8000,21099.6,2.3,,8000,15485.8,6.3
9000,26949.7,2.3,,9000,22558,5.6
10000,38371.1,7.5,,10000,25587.9,6.2
